Course ID,Course,Course Name,Course Hours,Course Description
132,NE 471,Nuclear System Design I,1,"Design and analysis of a nuclear system. Feasibility, cost analysis and initial steps of a nuclear engineering design project is to be completed in NE 472."
133,NE 400,Senior Seminar,1,"Current topics related to nuclear and radiological engineering including ethics, contemporary issues, and commitment to life-long learning."
134,NE 472,Nuclear System Design II,3,"First order design and analysis of a nuclear system. Interface with nonnuclear aspects of system design, including system reliability and economics. Class project."
135,NE 101,Survey of Nuclear and Radiological Engineering,1,
136,ENGL 101,,,
137,BME 205,,,
138,BME 474,,,
139,PHIL 345,,,
140,BME 315,,,
141,BME 345,,,
142,BME 449,,,
143,BME 450,,,
144,BME 460,,,
